Customer name,SKU Id,SKU,SP,QUANTITY
Emily Johnson,CAT108,Apple,97,2
Emily Johnson,CAT15,Banana,79,0.5
Emily Johnson,CAT35,Carrot,112,3
Emily Johnson,CAT37,Orange,112,3
Emily Johnson,CAT27,Tomato,80,3
Emily Johnson,CAT17,Potato,45,1
Emily Johnson,CAT55,Pineapple,25,2
Emily Johnson,CAT39,Grapes,28,1
Emily Johnson,CAT38,Spinach,49,1
Emily Johnson,CAT5523,Strawberry,75,3
Emily Johnson,CAT51,Cucumber,39,0.5
Emily Johnson,CAT73,Mango,75,1
Emily Johnson,CAT74,Watermelon,62,1
Emily Johnson,CAT4832,Broccoli,33,3
Emily Johnson,CAT82,Kiwi,22.9,5
Emily Johnson,CAT81,Lemon,28.5,5
Emily Johnson,CAT93,Avocado,30.5,20
Emily Johnson,CAT29,Cauliflower,22,2
Emily Johnson,CAT89,Pear,81,0.25
Emily Johnson,CAT64,Blueberry,115,0.5
Emily Johnson,CAT91,Bell Pepper,69,1
Emily Johnson,CAT97,Celery,32,1
Emily Johnson,CAT100,Peach,25,1
Emily Johnson,CAT19,Cherry,39,1
Emily Johnson,CAT49,Lettuce,39,1
Liam Smith,CAT71,Raspberry,102,2
Liam Smith,CAT70,Eggplant,102,1
Liam Smith,CAT104020,Lime,255,1
Olivia Williams,CAT51,Cucumber,39,0.5
Olivia Williams,CAT106,Papaya,40,3
Olivia Williams,CAT74,Watermelon,62,10
Olivia Williams,CAT53,Radish,39,1
Olivia Williams,CAT31,Grapefruit,70,3
Olivia Williams,CAT30,Onion,16,2
Olivia Williams,CAT82,Kiwi,22.9,5
Noah Brown,CAT4832,Broccoli,33,1.5
Noah Brown,CAT106,Papaya,40,1
Noah Brown,CAT81,Lemon,28.5,5
Noah Brown,CAT93,Avocado,30.5,5
Noah Brown,CAT111,Cantaloupe,70,0.5
Noah Brown,CAT9,Plum,104,1
Noah Brown,CAT48,Zucchini,28,1
Noah Brown,CAT45,Apricot,56,0.5
Noah Brown,CAT62,Brussels Sprouts,545,0.5
Noah Brown,CAT50,Cranberry,29.5,2
Noah Brown,CAT17,Potato,45,1
Noah Brown,CAT43,Asparagus,69,0.5
Noah Brown,CAT64,Blueberry,115,0.5
Noah Brown,CAT21,Blackberry,69,0.5
Noah Brown,CAT29,Cauliflower,22,5
Noah Brown,CAT102,Fig,50,1.5
Noah Brown,CAT38,Spinach,49,4
Noah Brown,CAT79,Artichoke,39,6
Noah Brown,CAT32,Lychee,51,2
Noah Brown,CAT27,Tomato,80,0.5
Noah Brown,CAT51,Cucumber,39,0.5
Emma Jones,CAT35,Carrot,112,0.5
Emma Jones,CAT4832,Broccoli,33,1.5
Emma Jones,CAT106,Papaya,40,1
Emma Jones,CAT81,Lemon,28.5,5
Emma Jones,CAT111,Cantaloupe,70,0.5
Emma Jones,CAT51,Cucumber,39,0.5
Emma Jones,CAT27,Tomato,80,0.5
Emma Jones,CAT41,Pomegranate,21,2
Emma Jones,CAT79,Artichoke,39,3
Emma Jones,CAT38,Spinach,49,3
Emma Jones,CAT102,Fig,50,1.5
Emma Jones,CAT29,Cauliflower,22,8
Emma Jones,CAT43,Asparagus,69,0.5
Emma Jones,CAT64,Blueberry,115,0.5
Emma Jones,CAT62,Brussels Sprouts,545,1
Emma Jones,CAT15,Banana,79,0.25
Emma Jones,CAT9,Plum,104,1
Emma Jones,CAT46,Guava,68,0.5
Emma Jones,CAT32,Lychee,51,2
Ethan Davis,CAT51,Cucumber,37,4
Ethan Davis,CAT46,Guava,65,2
Ethan Davis,CAT64,Blueberry,108,0.5
Ethan Davis,CAT62,Brussels Sprouts,537,1
Ethan Davis,CAT41,Pomegranate,19.9,3
Ethan Davis,CAT106,Papaya,39.9,2
Ethan Davis,CAT78,Green Bean,34,0.25
Ethan Davis,CAT71,Raspberry,99.5,1
Ethan Davis,CAT22,Tangerine,19,5
Ava Taylor,CAT4832,Broccoli,33,5
Ava Taylor,CAT106,Papaya,40,12
Ava Taylor,CAT5523,Strawberry,75,1
Ava Taylor,CAT51,Cucumber,39,1
Ava Taylor,CAT32,Lychee,51,2
Ava Taylor,CAT41,Pomegranate,21,15
Ava Taylor,CAT55,Pineapple,25,4
Ava Taylor,CAT38,Spinach,49,1
Ava Taylor,CAT102,Fig,50,0.5
Ava Taylor,CAT64,Blueberry,115,1
Ava Taylor,CAT57,Mango,55,0.1
Ava Taylor,CAT67,Coconut,49,3
Ava Taylor,CAT45,Apricot,56,0.5
Ava Taylor,CAT29,Cauliflower,22,1
Ava Taylor,CAT17,Potato,45,1
Ava Taylor,CAT46,Guava,68,0.5
Ava Taylor,CAT26,Rhubarb,29,1
Mason Wilson,CAT4832,Broccoli,33,1
Mason Wilson,CAT34,Jackfruit,172,0.5
Mason Wilson,CAT36,Date,172,0.5
Mason Wilson,CAT51,Cucumber,39,1
Mason Wilson,CAT27,Tomato,80,0.5
Mason Wilson,CAT32,Lychee,51,1
Mason Wilson,CAT102,Fig,50,0.5
Mason Wilson,CAT71,Raspberry,102,2
Mason Wilson,CAT64,Blueberry,115,0.5
Mason Wilson,CAT20,Nectarine,42,2
Mason Wilson,CAT46,Guava,68,0.5
Mason Wilson,CAT38,Spinach,49,1
Mason Wilson,CAT55,Pineapple,25,1
Mason Wilson,CAT29,Cauliflower,22,1
Sophia Martinez,CAT32,Lychee,51,2
Sophia Martinez,CAT67,Coconut,49,2
Sophia Martinez,CAT55,Pineapple,25,3
Sophia Martinez,CAT41,Pomegranate,21,16
Sophia Martinez,CAT106,Papaya,40,5
Sophia Martinez,CAT51,Cucumber,39,1
Sophia Martinez,CAT64,Blueberry,115,0.5
Sophia Martinez,CAT102,Fig,50,0.5
Sophia Martinez,CAT4832,Broccoli,33,5
Sophia Martinez,CAT57,Mango,55,0.1
Sophia Martinez,CAT82,Kiwi,22.9,25
Sophia Martinez,CAT94,Peas,25,10
Sophia Martinez,CAT46,Guava,68,1
Sophia Martinez,CAT38,Spinach,49,1
Sophia Martinez,CAT29,Cauliflower,22,1
Sophia Martinez,CAT17,Potato,45,1
Sophia Martinez,CAT26,Rhubarb,29,1
Sophia Martinez,CAT78,Green Bean,37,0.25
Elijah Anderson,CAT17,Potato,36,1
Elijah Anderson,CAT32,Lychee,46,7
Elijah Anderson,CAT34,Jackfruit,162,3
Elijah Anderson,CAT36,Date,162,3
Elijah Anderson,CAT38,Spinach,43,3
Elijah Anderson,CAT41,Pomegranate,19,3
Elijah Anderson,CAT46,Guava,76,7
Elijah Anderson,CAT50,Cranberry,29,10
Elijah Anderson,CAT51,Cucumber,32,5
Elijah Anderson,CAT55,Pineapple,20,2
Elijah Anderson,CAT57,Mango,51,1
Elijah Anderson,CAT59,Passion Fruit,49,0.5
Elijah Anderson,CAT64,Blueberry,113,2
Elijah Anderson,CAT62,Brussels Sprouts,525,9
Elijah Anderson,CAT5523,Strawberry,90,2
Elijah Anderson,CAT91,Bell Pepper,66,1
Elijah Anderson,CAT78,Green Bean,29,2
Elijah Anderson,CAT81,Lemon,23,30
Elijah Anderson,CAT102,Fig,49,1
Elijah Anderson,CAT98,Pine Nuts,200,2
Elijah Anderson,CAT4832,Broccoli,31,11
Elijah Anderson,CAT106,Papaya,38,10
Elijah Anderson,CAT11,Kale,48,1
Elijah Anderson,CAT94,Peas,23,10
Elijah Anderson,CAT53,Radish,38,1
Elijah Anderson,CAT15,Banana,100,0.25
Elijah Anderson,CAT9,Plum,108,10
Elijah Anderson,CAT79,Artichoke,39,35
Elijah Anderson,CAT27,Tomato,78,1
Elijah Anderson,CAT99370,Plantain,96,0.5
Elijah Anderson,CAT87,Beetroot,40,2
Elijah Anderson,CAT108,Apple,103,1
Elijah Anderson,CAT92,Dragonfruit,163,1
Isabella Garcia,CAT17,Potato,45,3
Isabella Garcia,CAT19,Cherry,39,1
Isabella Garcia,CAT21,Blackberry,69,0.5
Isabella Garcia,CAT46,Guava,68,1
Isabella Garcia,CAT38,Spinach,49,3
Isabella Garcia,CAT32,Lychee,51,4
Isabella Garcia,CAT35,Carrot,112,0.5
Isabella Garcia,CAT37,Orange,112,0.5
Isabella Garcia,CAT30,Onion,16,3
Isabella Garcia,CAT31,Grapefruit,70,0.5
Isabella Garcia,CAT41,Pomegranate,21,6
Isabella Garcia,CAT55,Pineapple,25,2
Isabella Garcia,CAT51,Cucumber,39,3
Isabella Garcia,CAT43,Asparagus,69,0.5
Isabella Garcia,CAT57,Mango,55,0.1
Isabella Garcia,CAT64,Blueberry,115,1
Isabella Garcia,CAT5523,Strawberry,75,5
Isabella Garcia,CAT78,Green Bean,37,0.5
Isabella Garcia,CAT94,Peas,25,10
